0,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.
1,Was Alessandro Volta a professor of chemistry?,No
2,Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.
3,Did Alessandro Volta invent the remotely operated pistol?,Yes
4,Was Alessandro Volta taught in public schools?,Volta was taught in public schools.
5,Was Alessandro Volta taught in public schools?,Yes
6,Who did Alessandro Volta marry?,Alessandro Volta married Teresa Peregrini.
7,Who did Alessandro Volta marry?,Teresa Peregrini
8,What did Alessandro Volta invent in 1800?,In 1800
9,What did Alessandro Volta invent in 1800?,voltaic pile
10,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.
11,What is the battery made by Alessandro Volta credited as?,the first electrochemical cell
12,Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.
13,Did Alessandro Volta die and retire in the same place?,Yes
14,When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.
15,When did Alessandro Volta improve  and popularize the electrophorus?,1775
16,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.
17,How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years
18,Was Alessandro Volta an Egyptian?,no
19,Was Alessandro Volta an Egyptian?,No.
20,Was Volta taught in public schools?,yes
21,Was Volta taught in public schools?,Yes.
22,Was Volta made a count in 1810?,yes
23,Was Volta made a count in 1810?,No.
24,Who made Volta a count?,Napoleon
25,Who made Volta a count?,Napoleon
26,Where was Volta born?,Como
27,Where was Volta born?,Como
28,When did Volta retire?,1819
29,When did Volta retire?,In 1819.
30,A year before improving and popularizing the electrophorus, what did Volta become?
31,Was Volta buried where he died or was he buried someplace else?,where he died
32,Was Volta buried where he died or was he buried someplace else?,Yes.
33,Did Volta marry before he became professor of experimental physics at the University of Pavia?,no
34,Did Volta marry before he became professor of experimental physics at the University of Pavia?,No.
35,What happened in 1810?,Volta was made a count by Napoleon.
36,Wasn't Alessandro Volta born in Como?,Yes
37,Was Alessandro Volta born in Como?,yes
38,Who became a professor of physics at the Royal School in Como?,Volta.
39,When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.
40,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes
41,Is the battery made by Volta credited as the first electrochemical cell?,Yes
42,Was Volta made a count by Napoleon in 1810?,Yes
43,In what year did he become a professor of physics at the Royal School in Como?,1774
44,Was Avogadro a  professor at the University of Turin?,Yes
45,Was Avogadro a  professor at the University of Turin?,Yes
46,Was he a member of the Royal Superior Council on Public Instruction?,Yes
47,Was he a member of the Royal Superior Council on Public Instruction?,Yes
48,Is Avogadro's number used to compute the results of chemical reactions?,Yes
49,Is Avogadro's number used to compute the results of chemical reactions?,Yes
50,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt
51,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.
52,What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights
53,What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.
54,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff
55,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.
56,In what language was his 1811 paper published?,French
57,In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.
58,Who was Avogadro's wife?,Felicita Mazz
59,Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia
60,Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.
61,Was Amedeo Avogadro was born in Turin?,Yes
62,Was Amedeo Avogadro was born in Turin?,yes
63,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes
64,Is Avogadro hailed as a founder of the atomic-molecular theory?,yes
65,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes
66,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,yes
69,Avogadro did not actually use what word?,atom
70,Avogadro did not actually use what word?,atom
71,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant
72,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant
73,What would a German call Avogadro's number?,Loschmidt number
74,What would a German call Avogadro's number?,Loschmidt number
75,Is Amedeo Avogadro Italian?,Yes
76,Is Amedeo Avogadro Italian?,yes
77,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes
78,Did he become a professor before the revolutionary movements against the king of Sardinia?,yes
79,Do ants belong to the Hymenoptera order?,yes
80,Do ants belong to the Hymenoptera order?,yes
81,Are ants used in cuisine?,yes
82,Are ants used in cuisine?,yes
83,Does an ant's head contain sensory organs?,yes
84,Does an ant's head contain sensory organs?,yes
85,How do most ants travel?,most ants travel by walking
86,How do most ants travel?,by walking
87,In ant colonies, what are the fertile female ants called?
88,In ant colonies, what are the fertile female ants called?
89,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants
